,District,BuildingName,LastDateofVisitbyAnyoftheInvolvedCase(s),RelatedConfirmed/ProbableCase(s)
0,Central & Western,Mier Serviced Apartments,132,
1,Kowloon City,Pearl Court,351,
2,Southern,Kam Fung Building,496,
3,Wan Chai,The Park Lane Hong Kong,648,
4,Wan Chai,The Emperor Hotel,648,
5,Yau Tsim Mong,Royal Plaza Hotel,648,
6,Yuen Long,"Block 4, Locwood Court, Kingswood Villas",876,
7,Yau Tsim Mong,Prudential Hotel,949,
8,Yau Tsim Mong,Imperial Hotel,949,
9,Yau Tsim Mong,Best Western Plus Hotel Kowloon,949,
10,Central & Western,"Harmony Court, 127 Bonham Strand",968,
11,Kwai Tsing,"Fu Tai House, Tai Wo Hau Estate",1004,
12,Kwai Tsing,Silka Tsuen Wan Hotel,1015,
13,Wan Chai,CHI Residences 138,1017,
14,Yau Tsim Mong,Metropark Hotel Mongkok,1018,
15,Sham Shui Po,"Block 2, Cronin Garden",1018,
16,Eastern,"Block F, Kornhill",1022,
17,Islands,"Block 1, Seaview Crescent",1024,
18,Kowloon City,"Block A, Lux Theatre Building",1025,
19,Islands,"Hor Tung House, Yu Tung Court",1026,
20,North,Louver Mansion,1034,
21,Central & Western,3 Square Street,1035,
22,Wan Chai,The Ellipsis,1036,
23,Sham Shui Po,Shek Kip Mei Reporting Centre And PTU KW Operational Base,"663, 854",01/04/2020
24,Eastern,Westlands Centre,"801, 960",01/04/2020
25,Wan Chai,88 Gloucester Road,"923, 925",03/04/2020
26,Central & Western,Shun Tak Centre,"923, 932",04/04/2020
27,Wan Chai,Windsor House,"903, 925, 944",05/04/2020
28,Southern,Marina Square East Centre,496,16/04/2020
29,Sha Tin,Yu Chui Shopping Centre,1004,17/04/2020
30,Tsuen Wan,Tai Wo Hau Commerical Centre 2,1004,20/04/2020
31,Tsuen Wan,Smartland,1004,20/04/2020
32,Central & Western,Mandarin Oriental Hotel,1036,21/04/2020
33,Central & Western,the L. place,1036,21/04/2020
