,District,Buildingname,Lastdateofvisitbyanyoftheinvolvedcase(s),Relatedconfirmed/probablecases,Relatedconfirmed/probablecases
0,"The Park Lane Hong Kong, a Pullman Hotel",Wan Chai,,892,
1,"Orchid Path, The Westwood, (Phase 1C), Palm Springs",Yuen Long,,893,
2,Borrett Mansions,Central & Western,,894,
3,Kensington House,Kowloon City,,895,
4,"Tower 1, Festival City (Phase 2)",Sha Tin,,896,
5,"Tower 2, Island Crest",Central & Western,,897,
6,Ha Shan Kai Wat,North,,898,
7,Lexington Hill,Central & Western,,899,
8,Robinson Place,Central & Western,,900,
9,Winfield Gardens,Wan Chai,,901,
10,Yan Sau Wai,Yuen Long,,902,
11,"Block 7, Bauhinia Garden",Sai Kung,,903,
12,San Hui Village,Tuen Mun,,905,
13,"Chiu Man House, Oi Man Estate",Kowloon City,,912,
14,"Chiu Man House, Oi Man Estate",Kowloon City,,913,
15,"Ko Ching House, Ko Cheung Court",Kwun Tong,,914,
16,123 Pak Tai Street,Kowloon City,,915,
17,Holiday Inn Express Hong Kong Mongkok,Yau Tsim Mong,,Case notified by the Health Commission of Guangdong Province,
18,40-42 Circular Pathway,Central & Western,,916,
19,"Block 4, South Horizons",Southern,,917,
20,"Fujian Hotel, Mirador Mansion",Yau Tsim Mong,,918,
21,Mau Po Road,Sai Kung,,919,
22,Dorsett Wanchai,Wan Chai,,920,
23,"Tower 6B, Imperial Cullinan",Yau Tsim Mong,,921,
24,"Kat Hing Wai, Kam Tin",Yuen Long,,922,
25,Lakeview Garden (House Zone),Sha Tin,,923,
26,"Sau Chi House, Sau Mau Ping Estate",Kwun Tong,,924,
27,"Tak Cheung House, Tak Long Estate",Kowloon City,,925,
28,"Chak Fai House, Tin Chak Estate",Yuen Long,,926,
29,"Luk Kwai House, Kwai Chung Estate",Kwai Tsing,,928,
30,Yick Shing Mansion,Wan Chai,,929,
31,Wah Yu Court,Eastern,,932,
32,109 Temple Street,Yau Tsim Mong,,933,
33,"Section C, 5th Street, Fairview Park",Yuen Long,,934,
34,Chung Hom Kok Road,Southern,,935,
35,"Hin Kwai House, Hin Keng Estate",Sha Tin,,936,
36,Dorsett Mongkok,Yau Tsim Mong,,Case notified by the Health Commission of Guangdong Province,
37,Courtyard By Marriott Hong Kong,Central & Western,,,
38,J Residence,Wan Chai,,937,
39,288 Des Voeux Road West,Central & Western,,938,
40,Hang Hau Village,Sai Kung,,939,
41,Floral Villas,Sai Kung,,940,
42,"Block 2, Hong Kong Garden",Tsuen Wan,,943,
43,"Kin Tai House, Fu Tai Estate",Tuen Mun,,944,
44,"Block 2, Royal Jubilee",North,,945,
45,"Block 6, Coastal Skyline",Islands,,946,
46,"Block D, Pearl Gardens",Central & Western,,947,
47,"The Park Lane Hong Kong, a Pullman Hotel",Wan Chai,,948,
48,The Imperial Hotel,Yau Tsim Mong,,949,
49,Prudential Hotel,Yau Tsim Mong,,949,
50,Fan Tin Tsuen,Yuen Long,,950,
51,"Tower 2, Island Crest",Central & Western,,953,
52,"Block 6, New Jade Garden",Eastern,,954,
53,Tai Tseng Wai Tsuen,Yuen Long,,955,
54,"Block 8, Seaview Garden",Tuen Mun,,956,
55,Wah Yu Court,Eastern,,957,
56,Wah Yu Court,Eastern,,958,
57,Silka Tsuen Wan Hotel,Tsuen Wan,,959,
58,"Block B1, Yau Tong Industrial City",Kwun Tong,,960,
59,Prat Mansions,Yau Tsim Mong,,961,
60,"Han Kung Mansion, Kam Din Terrace, Taikoo Shing",Eastern,,962,
61,Ramada Hong Kong Grand View,Eastern,,963,
62,Sunderland Estate,Kowloon City,,964,
63,"Cheung Fai Building, 45 - 47 Cochrane Street",Central & Western,,965,
64,"Tower 6B, Imperial Cullinan",Yau Tsim Mong,,966,
65,"Harmony Court, 127 Bonham Strand",Central & Western,,968,
66,"Block 2, Sceneway Garden",Kwun Tong,,969,
67,Dorsett Tsuen Wan,Kwai Tsing,,970,
68,"Headland Drive, Discovery Bay",Islands,,971,
69,"Golden Mansion, 83-85 Chatham Road South",Yau Tsim Mong,,972,
70,"Hillier Building, 273 - 275 Queen's Road Central",Central & Western,,973,
71,Tung Hei Court,Kowloon City,,974,
72,JC Castle,Tai Po,,975,
73,"Tung Tau Tsuen, Shap Pat Heung",Yuen Long,,976,
74,"Block 30, Park Island",Tsuen Wan,,977,
75,Branksome Grande,Central & Western,,978,
76,V Wanchai,Wan Chai,,979,
77,Constellation Cove,Tai Po,,981,
78,"Block 6, Royal Ascot",Sha Tin,,982,
79,"Sau Ching House, Sau Mau Ping Estate",Kwun Tong,,983,
80,"Crestmont Villa, Discovery Bay",Islands,,984,
81,"Tower 1, Harbour Green",Yau Tsim Mong,,985,
82,Bishop Lei International House,Central & Western,,987,
83,"Block 2, Carado Garden",Sha Tin,,988,
84,"Prince Apartments, 226 Prince Edward Road West",Kowloon City,,989,
85,Kennedy Park at Central,Central & Western,,990,
86,YMCA of Hong Kong,Yau Tsim Mong,,992,
87,"Block 3, Garden Terrace",Central & Western,,993,
88,Tin Sam Village,Yuen Long,,996,
89,St Moritz,Sha Tin,,997,
90,"Tung Tau Tsuen, Shap Pat Heung",Yuen Long,,998,
91,Courtyard By Marriott Hong Kong,Central & Western,,1000,
92,Beau Cloud Mansion,Central & Western,,1001,
93,"Block 1, Pine Villas",Tuen Mun,,1002,
94,Yan Sau Wai,Yuen Long,,1003,
95,"Fu Tai House, Tai Wo Hau Estate",Kwai Tsing,,1004,
96,"Block 8, Seaview Garden",Tuen Mun,,1005,
97,"Block 2, Carado Garden",Sha Tin,,1007,
98,"Block 3, Garden Terrace",Central & Western,,1009,
99,"Tower 11, Avignon",Tuen Mun,,1013,
100,Silka Tsuen Wan Hotel,Kwai Tsing,,1015,
101,CHI Residences 138,Wan Chai,,1017,
102,Metropark Hotel Mongkok,Yau Tsim Mong,,1018,
103,"Block 2, Cronin Garden",Sham Shui Po,,1018,
104,"Block F, Kornhill",Eastern,,1022,
105,"Block 1, Seaview Crescent",Islands,,1024,
106,"Block A, Lux Theatre Building",Kowloon City,,1025,
107,"Hor Tung House, Yu Tung Court",Islands,,1026,
108,Ho Lee Commercial Building,Central & Western,24/03/2020,,"182, 227, 276, 343, 360, 362, 367, 384, 386, 387, 389, 394, 411, 422, 432, 433, 440, 442, 453, 497, 501, 511, 513, 576, 627, 746, 877"
109,76 Jaffe Road,Wan Chai,24/03/2020,,"276, 343, 362, 367, 386, 387, 389, 413, 432, 433, 434, 440, 477, 499, 501, 509, 513, 519, 524, 576, 635, 638, 707, 746, 864, 877, 951"
110,9 Knutsford Terrace,Yau Tsim Mong,24/03/2020,,"387, 389, 395, 411, 428, 433, 447, 450, 458, 462, 466,483, 484, 498, 501, 510, 511, 512, 513, 514, 517, 526, 573, 581, 614, 615, 625, 663, 670, 674, 746, 755, 846, 863, 904, 906, 998"
111,10-11 Knustsford Terrace,Yau Tsim Mong,24/03/2020,,"483, 516"
112,MW Plaza,Yau Tsim Mong,24/03/2020,,"567, 842"
113,25 Carnarvon Road,Yau Tsim Mong,24/03/2020,,"662, 687, 702, 704, 705, 758, 759"
114,Lok Sing Centre,Wan Chai,25/03/2020,,"903, 923, 925, 932, 954"
115,23 Luard Road,Wan Chai,26/03/2020,,"682, 857"
116,82 Jaffe Road,Wan Chai,27/03/2020,,"276, 362, 367, 386, 387, 389, 432, 433, 440, 481, 501, 513, 531, 626, 746, 877, 973"
117,iSQUARE,Yau Tsim Mong,28/03/2020,,"504, 756"
118,10 Knutsford Terrace,Yau Tsim Mong,28/03/2020,,"567, 842"
119,K11 Musea,Yau Tsim Mong,28/03/2020,,"687, 702, 704, 705, 758, 759"
120,23 Yip Kan Street,Southern,28/03/2020,,"719, 801, 849"
121,Shek Kip Mei Reporting Centre And PTU KW Operational Base,Sham Shui Po,01/04/2020,,"663, 854"
122,Westlands Centre,Eastern,01/04/2020,,"801, 960"
123,88 Gloucester Road,Wan Chai,03/04/2020,,"923, 925"
124,Shun Tak Centre,Central & Western,04/04/2020,,"923, 932"
125,Windsor House,Wan Chai,05/04/2020,,"903, 925, 944"
126,Hong Kong Adventist Hospital,Wan Chai,06/04/2020,,935
127,Shek Wu Hui Municipal Services Building,North,06/04/2020,,945
128,Union Plaza,North,06/04/2020,,945
129,Yue Wan Market,Eastern,06/04/2020,,958
130,"Administration Building, Yue Wan Estate",Eastern,06/04/2020,,958
131,Domain,Kwun Tong,06/04/2020,,960
132,121 Bonham Strand,Central & Western,06/04/2020,,971
133,Emperor Group Centre,Wan Chai,06/04/2020,,972
134,Melbourne Plaza,Central & Western,06/04/2020,,978
135,Pat Tat Industrial Building,Wong Tai Sin,06/04/2020,,978
136,The Landmark Mandarin Oriental Hotel,Central & Western,06/04/2020,,978
137,New East Ocean Centre,Yau Tsim Mong,07/04/2020,,955
138,Festival Walk,Kowloon City,07/04/2020,,955
